date	impfstoff	region	dosen
2021-03-30	comirnaty	DE-BW	146250
2021-03-30	comirnaty	DE-BY	169650
2021-03-30	comirnaty	DE-BY	105300
2021-03-30	comirnaty	DE-BE	46800
2021-03-30	comirnaty	DE-BB	35100
2021-03-30	comirnaty	DE-HB	11700
2021-03-30	comirnaty	DE-HH	23400
2021-03-30	comirnaty	DE-HE	81900
2021-03-30	comirnaty	DE-MV	17550
2021-03-30	comirnaty	DE-NI	105300
2021-03-30	comirnaty	DE-NW	234000
2021-03-30	comirnaty	DE-RP	52650
2021-03-30	comirnaty	DE-RP	23400
2021-03-30	comirnaty	DE-SL	11700
2021-03-30	comirnaty	DE-SL	81900
2021-03-30	comirnaty	DE-SN	52650
2021-03-30	comirnaty	DE-SN	93600
2021-03-30	comirnaty	DE-ST	29250
2021-03-30	comirnaty	DE-ST	11700
2021-03-30	comirnaty	DE-SH	35100
2021-03-30	comirnaty	DE-TH	23400
2021-03-30	comirnaty	DE-TH	35100
2021-03-31	astra	DE-BW	237600
2021-03-31	astra	DE-BY	285600
2021-03-31	astra	DE-BE	72000
2021-03-31	astra	DE-BB	50400
2021-03-31	astra	DE-HB	14400
2021-03-31	astra	DE-HH	38400
2021-03-31	astra	DE-HE	129600
2021-03-31	astra	DE-MV	31200
2021-03-31	astra	DE-NI	165600
2021-03-31	astra	DE-NW	384000
2021-03-31	astra	DE-RP	86400
2021-03-31	astra	DE-SL	16800
2021-03-31	astra	DE-SN	84000
2021-03-31	astra	DE-ST	45600
2021-03-31	astra	DE-SH	57600
2021-03-31	astra	DE-TH	45600
2021-03-31	moderna	DE-BW	88800
2021-03-31	moderna	DE-BY	103200
2021-03-31	moderna	DE-BE	21600
2021-03-31	moderna	DE-BB	19200
2021-03-31	moderna	DE-HB	4800
2021-03-31	moderna	DE-HH	14400
2021-03-31	moderna	DE-HE	48000
2021-03-31	moderna	DE-MV	13200
2021-03-31	moderna	DE-NI	63600
2021-03-31	moderna	DE-NW	141600
2021-03-31	moderna	DE-RP	32400
2021-03-31	moderna	DE-SL	8400
2021-03-31	moderna	DE-SN	32400
2021-03-31	moderna	DE-ST	18000
2021-03-31	moderna	DE-SH	22800
2021-03-31	moderna	DE-TH	18000